"Dim1","Dim2","Val"
"AC","2010",43974521.907795
"AC","2012",43974521.907795
"AC","2014",43974521.907795
"AC","2016",43974521.907795
"AC","2018",43974521.907795
"AC","2020",43974521.907795
"AC","2022",43974521.907795
"AC","2024",45832928.0884729
"AC","2026",46284551.7642247
"AC","2028",46817854.1208495
"AC","2030",48028905.0838199
"AC","2032",48279331.8320449
"AC","2034",48900609.0774084
"AC","2036",49994653.182348
"AC","2038",50511385.0565355
"AC","2040",51015794.5271237
"AC","2042",52157618.3056783
"AC","2044",53525274.4590894
"AC","2046",54080092.8022133
"AC","2048",54438629.5491616
"AC","2050",54960135.3251073
"LCC","2010",4172003
"LCC","2012",4172003
"LCC","2014",4172003
"LCC","2016",4172003
"LCC","2018",4172003
"LCC","2020",4172003
"LCC","2022",4172003
"LCC","2024",4172003
"LCC","2026",4172699.08303302
"LCC","2028",4205693.14352652
"LCC","2030",4224481.91994514
"LCC","2032",4224481.91994514
"LCC","2034",4224481.91994514
"LCC","2036",4228105.79411686
"LCC","2038",4228105.79411686
"LCC","2040",4228105.79411686
"LCC","2042",4360275.86713365
"LCC","2044",5195118.073937
"LCC","2046",5937336.31038839
"LCC","2048",6040889.48562216
"LCC","2050",6407181.03556152
