"Dim1","Dim2","Dim3","Dim4","Val"
"p1","p2","AC","2010",914979.76878
"p1","p2","AC","2012",914979.76878
"p1","p2","AC","2014",914979.76878
"p1","p2","AC","2016",914979.76878
"p1","p2","AC","2018",914979.76878
"p1","p2","AC","2020",914979.76878
"p1","p2","AC","2022",914979.76878
"p1","p2","AC","2024",916489.938657785
"p1","p2","AC","2026",916554.287559802
"p1","p2","AC","2028",916562.988935664
"p1","p2","AC","2030",939873.012400113
"p1","p2","AC","2032",940133.377587723
"p1","p2","AC","2034",940771.188388853
"p1","p2","AC","2036",943717.146951807
"p1","p2","AC","2038",949208.467793541
"p1","p2","AC","2040",949704.883366079
"p1","p2","AC","2042",952249.021299794
"p1","p2","AC","2044",952758.086003022
"p1","p2","AC","2046",954507.915072317
"p1","p2","AC","2048",955786.670113296
"p1","p2","AC","2050",956348.727436325
"p1","p4","AC","2010",1365867.26064
"p1","p4","AC","2012",1365867.26064
"p1","p4","AC","2014",1365867.26064
"p1","p4","AC","2016",1365867.26064
"p1","p4","AC","2018",1365867.26064
"p1","p4","AC","2020",1365867.26064
"p1","p4","AC","2022",1365867.26064
"p1","p4","AC","2024",1365867.26064
"p1","p4","AC","2026",1365875.26772548
"p1","p4","AC","2028",1366172.80489852
"p1","p4","AC","2030",1373201.41741996
"p1","p4","AC","2032",1373677.17921686
"p1","p4","AC","2034",1373688.21138977
"p1","p4","AC","2036",1379631.66436128
"p1","p4","AC","2038",1380205.63653208
"p1","p4","AC","2040",1380205.63653208
"p1","p4","AC","2042",1384530.23030991
"p1","p4","AC","2044",1384668.9665872
"p1","p4","AC","2046",1384735.16815696
"p1","p4","AC","2048",1389066.48746054
"p1","p4","AC","2050",1393124.81255063
"p2","p3","AC","2010",247785.54833
"p2","p3","AC","2012",247785.54833
"p2","p3","AC","2014",247785.54833
"p2","p3","AC","2016",247785.54833
"p2","p3","AC","2018",247785.54833
"p2","p3","AC","2020",247785.54833
"p2","p3","AC","2022",247785.54833
"p2","p3","AC","2024",247785.54833
"p2","p3","AC","2026",247785.54833
"p2","p3","AC","2028",247785.54833
"p2","p3","AC","2030",247785.54833
"p2","p3","AC","2032",247785.54833
"p2","p3","AC","2034",247785.54833
"p2","p3","AC","2036",247785.54833
"p2","p3","AC","2038",247785.54833
"p2","p3","AC","2040",247785.54833
"p2","p3","AC","2042",247785.54833
"p2","p3","AC","2044",247785.54833
"p2","p3","AC","2046",247785.54833
"p2","p3","AC","2048",247785.54833
"p2","p3","AC","2050",247785.54833
"p2","p4","AC","2010",467875.662525
"p2","p4","AC","2012",467875.662525
"p2","p4","AC","2014",467875.662525
"p2","p4","AC","2016",467875.662525
"p2","p4","AC","2018",467875.662525
"p2","p4","AC","2020",467875.662525
"p2","p4","AC","2022",467875.662525
