"Dim1","Dim2","Dim3","Dim4","Val"
"p1","p2","AC","2010",6907.593
"p1","p2","AC","2012",6907.593
"p1","p2","AC","2014",6907.593
"p1","p2","AC","2016",6907.593
"p1","p2","AC","2018",6907.593
"p1","p2","AC","2020",6907.593
"p1","p2","AC","2022",6907.593
"p1","p2","AC","2024",6918.9939503079
"p1","p2","AC","2026",6919.47974905482
"p1","p2","AC","2028",6919.54543964717
"p1","p2","AC","2030",7095.52327042211
"p1","p2","AC","2032",7097.48888409877
"p1","p2","AC","2034",7102.30400414353
"p1","p2","AC","2036",7124.54436774729
"p1","p2","AC","2038",7166.00081378183
"p1","p2","AC","2040",7169.74847777502
"p1","p2","AC","2042",7188.9553170753
"p1","p2","AC","2044",7192.79847503414
"p1","p2","AC","2046",7206.00872015942
"p1","p2","AC","2048",7215.66261598442
"p1","p2","AC","2050",7219.90583901801
"p1","p4","AC","2010",8320.3415
"p1","p4","AC","2012",8320.3415
"p1","p4","AC","2014",8320.3415
"p1","p4","AC","2016",8320.3415
"p1","p4","AC","2018",8320.3415
"p1","p4","AC","2020",8320.3415
"p1","p4","AC","2022",8320.3415
"p1","p4","AC","2024",8320.3415
"p1","p4","AC","2026",8320.3902761055
"p1","p4","AC","2028",8322.20275888472
"p1","p4","AC","2030",8365.01838096954
"p1","p4","AC","2032",8367.91654006373
"p1","p4","AC","2034",8367.98374384606
"p1","p4","AC","2036",8404.18898855557
"p1","p4","AC","2038",8407.68540772466
"p1","p4","AC","2040",8407.68540772466
"p1","p4","AC","2042",8434.02918073778
"p1","p4","AC","2044",8434.87430913253
"p1","p4","AC","2046",8435.27758380216
"p1","p4","AC","2048",8461.66232614852
"p1","p4","AC","2050",8486.3840920482
"p2","p3","AC","2010",1444.561
"p2","p3","AC","2012",1444.561
"p2","p3","AC","2014",1444.561
"p2","p3","AC","2016",1444.561
"p2","p3","AC","2018",1444.561
"p2","p3","AC","2020",1444.561
"p2","p3","AC","2022",1444.561
"p2","p3","AC","2024",1444.561
"p2","p3","AC","2026",1444.561
"p2","p3","AC","2028",1444.561
"p2","p3","AC","2030",1444.561
"p2","p3","AC","2032",1444.561
"p2","p3","AC","2034",1444.561
"p2","p3","AC","2036",1444.561
"p2","p3","AC","2038",1444.561
"p2","p3","AC","2040",1444.561
"p2","p3","AC","2042",1444.561
"p2","p3","AC","2044",1444.561
"p2","p3","AC","2046",1444.561
"p2","p3","AC","2048",1444.561
"p2","p3","AC","2050",1444.561
"p2","p4","AC","2010",6447.2325
"p2","p4","AC","2012",6447.2325
"p2","p4","AC","2014",6447.2325
"p2","p4","AC","2016",6447.2325
"p2","p4","AC","2018",6447.2325
"p2","p4","AC","2020",6447.2325
"p2","p4","AC","2022",6447.2325
"p2","p4","AC","2024",6447.2325
"p2","p4","AC","2026",6447.2325
"p2","p4","AC","2028",6447.34856582094
"p2","p4","AC","2030",7250.73908170592
"p2","p4","AC","2032",7279.70103766104
"p2","p4","AC","2034",7674.42233697502
"p2","p4","AC","2036",7755.14444556299
"p2","p4","AC","2038",8202.39587899224
"p2","p4","AC","2040",8461.93491701461
"p2","p4","AC","2042",8608.52009358514
"p2","p4","AC","2044",9315.9029651904
"p2","p4","AC","2046",9940.88691573179
"p2","p4","AC","2048",10407.1446024048
"p2","p4","AC","2050",10868.9717976151
"p2","p5","AC","2010",24674.936
"p2","p5","AC","2012",24674.936
"p2","p5","AC","2014",24674.936
"p2","p5","AC","2016",24674.936
"p2","p5","AC","2018",24674.936
"p2","p5","AC","2020",24674.936
"p2","p5","AC","2022",24674.936
"p2","p5","AC","2024",24674.936
"p2","p5","AC","2026",24674.936
"p2","p5","AC","2028",24674.9957127484
"p2","p5","AC","2030",24691.3437934997
"p2","p5","AC","2032",24705.7419428757
"p2","p5","AC","2034",24721.0495723319
"p2","p5","AC","2036",24750.8952329309
"p2","p5","AC","2038",25090.2722802154
"p2","p5","AC","2040",25186.5607294025
"p2","p5","AC","2042",25407.1068489785
"p2","p5","AC","2044",26195.0505145897
"p2","p5","AC","2046",26820.034465131
"p2","p5","AC","2048",26912.0809704246
"p2","p5","AC","2050",27261.3618244333
"p2","p14","AC","2010",3033.8855
"p2","p14","AC","2012",3033.8855
"p2","p14","AC","2014",3033.8855
"p2","p14","AC","2016",3033.8855
"p2","p14","AC","2018",3033.8855
"p2","p14","AC","2020",3033.8855
"p2","p14","AC","2022",3033.8855
"p2","p14","AC","2024",3033.8855
"p2","p14","AC","2026",3033.8855
"p2","p14","AC","2028",3033.8855
"p2","p14","AC","2030",3067.46373561479
"p2","p14","AC","2032",3067.46373561479
"p2","p14","AC","2034",3067.46373561479
"p2","p14","AC","2036",3067.5981860062
"p2","p14","AC","2038",3067.5981860062
"p2","p14","AC","2040",3067.5981860062
