"Dim1","Dim2","Val"
"AC","2010",26564607.502405
"AC","2012",26564607.502405
"AC","2014",26564607.502405
"AC","2016",26564607.502405
"AC","2018",26564607.502405
"AC","2020",26564607.502405
"AC","2022",26564607.502405
"AC","2024",28144252.7559812
"AC","2026",28528132.8803703
"AC","2028",28981439.8835013
"AC","2030",30010833.2020261
"AC","2032",30223695.9380174
"AC","2034",30751781.5965764
"AC","2036",31681719.085775
"AC","2038",32120941.1788345
"AC","2040",32549689.2288344
"AC","2042",33520239.4406058
"AC","2044",34682747.1710052
"AC","2046",35154342.7626606
"AC","2048",35459098.9975666
"AC","2050",35902378.9071204
"LCC","2010",4172003
"LCC","2012",4172003
"LCC","2014",4172003
"LCC","2016",4172003
"LCC","2018",4172003
"LCC","2020",4172003
"LCC","2022",4172003
"LCC","2024",4172003
"LCC","2026",4172594.67057807
"LCC","2028",4200639.62199754
"LCC","2030",4216610.08195337
"LCC","2032",4216610.08195337
"LCC","2034",4216610.08195337
"LCC","2036",4219690.37499933
"LCC","2038",4219690.37499933
"LCC","2040",4219690.37499933
"LCC","2042",4332034.9370636
"LCC","2044",5041650.81284645
"LCC","2046",5672536.31383013
"LCC","2048",5760556.51277884
"LCC","2050",6071904.33022729
