"Dim1","Dim2","Dim3","Dim4","Val"
"p1","p2","AC","2010",4009.721
"p1","p2","AC","2012",4009.721
"p1","p2","AC","2014",4009.721
"p1","p2","AC","2016",4009.721
"p1","p2","AC","2018",4009.721
"p1","p2","AC","2020",4009.721
"p1","p2","AC","2022",4009.721
"p1","p2","AC","2024",4019.41180776172
"p1","p2","AC","2026",4019.8247366966
"p1","p2","AC","2028",4019.88057370009
"p1","p2","AC","2030",4169.46172985879
"p1","p2","AC","2032",4171.13250148395
"p1","p2","AC","2034",4175.225353522
"p1","p2","AC","2036",4194.1296625852
"p1","p2","AC","2038",4229.36764171455
"p1","p2","AC","2040",4232.55315610877
"p1","p2","AC","2042",4248.87896951401
"p1","p2","AC","2044",4252.14565377902
"p1","p2","AC","2046",4263.37436213551
"p1","p2","AC","2048",4271.58017358676
"p1","p2","AC","2050",4275.18691316531
"p1","p4","AC","2010",7698.8575
"p1","p4","AC","2012",7698.8575
"p1","p4","AC","2014",7698.8575
"p1","p4","AC","2016",7698.8575
"p1","p4","AC","2018",7698.8575
"p1","p4","AC","2020",7698.8575
"p1","p4","AC","2022",7698.8575
"p1","p4","AC","2024",7698.8575
"p1","p4","AC","2026",7698.89895968968
"p1","p4","AC","2028",7700.43957005202
"p1","p4","AC","2030",7736.83284882411
"p1","p4","AC","2032",7739.29628405417
"p1","p4","AC","2034",7739.35340726915
"p1","p4","AC","2036",7770.12786527223
"p1","p4","AC","2038",7773.09982156596
"p1","p4","AC","2040",7773.09982156596
"p1","p4","AC","2042",7795.49202862712
"p1","p4","AC","2044",7796.21038776265
"p1","p4","AC","2046",7796.55317123184
"p1","p4","AC","2048",7818.98020222624
"p1","p4","AC","2050",7839.99370324097
"p2","p3","AC","2010",1441.729
"p2","p3","AC","2012",1441.729
"p2","p3","AC","2014",1441.729
"p2","p3","AC","2016",1441.729
"p2","p3","AC","2018",1441.729
"p2","p3","AC","2020",1441.729
"p2","p3","AC","2022",1441.729
"p2","p3","AC","2024",1441.729
"p2","p3","AC","2026",1441.729
"p2","p3","AC","2028",1441.729
"p2","p3","AC","2030",1441.729
"p2","p3","AC","2032",1441.729
"p2","p3","AC","2034",1441.729
"p2","p3","AC","2036",1441.729
"p2","p3","AC","2038",1441.729
"p2","p3","AC","2040",1441.729
"p2","p3","AC","2042",1441.729
"p2","p3","AC","2044",1441.729
"p2","p3","AC","2046",1441.729
"p2","p3","AC","2048",1441.729
"p2","p3","AC","2050",1441.729
"p2","p4","AC","2010",4702.125
"p2","p4","AC","2012",4702.125
"p2","p4","AC","2014",4702.125
"p2","p4","AC","2016",4702.125
"p2","p4","AC","2018",4702.125
"p2","p4","AC","2020",4702.125
"p2","p4","AC","2022",4702.125
"p2","p4","AC","2024",4702.125
"p2","p4","AC","2026",4702.125
"p2","p4","AC","2028",4702.2236559478
"p2","p4","AC","2030",5385.10559445003
"p2","p4","AC","2032",5409.72325701188
"p2","p4","AC","2034",5745.23636142876
"p2","p4","AC","2036",5813.85015372854
"p2","p4","AC","2038",6194.01387214341
"p2","p4","AC","2040",6414.62205446242
"p2","p4","AC","2042",6539.21945454737
"p2","p4","AC","2044",7140.49489541184
"p2","p4","AC","2046",7671.73125337202
"p2","p4","AC","2048",8068.05028704405
"p2","p4","AC","2050",8460.60340297279
"p2","p5","AC","2010",23799.843
"p2","p5","AC","2012",23799.843
"p2","p5","AC","2014",23799.843
"p2","p5","AC","2016",23799.843
"p2","p5","AC","2018",23799.843
"p2","p5","AC","2020",23799.843
"p2","p5","AC","2022",23799.843
"p2","p5","AC","2024",23799.843
"p2","p5","AC","2026",23799.843
"p2","p5","AC","2028",23799.8937558362
"p2","p5","AC","2030",23813.7896244748
"p2","p5","AC","2032",23826.0280514444
"p2","p5","AC","2034",23839.0395364821
"p2","p5","AC","2036",23864.4083479912
"p2","p5","AC","2038",24152.8788381831
"p2","p5","AC","2040",24234.7240199922
"p2","p5","AC","2042",24422.1882216317
"p2","p5","AC","2044",25091.9403374012
"p2","p5","AC","2046",25623.1766953614
"p2","p5","AC","2048",25701.4162248609
"p2","p5","AC","2050",25998.3049507683
"p2","p14","AC","2010",736.3255
"p2","p14","AC","2012",736.3255
"p2","p14","AC","2014",736.3255
"p2","p14","AC","2016",736.3255
"p2","p14","AC","2018",736.3255
"p2","p14","AC","2020",736.3255
"p2","p14","AC","2022",736.3255
"p2","p14","AC","2024",736.3255
"p2","p14","AC","2026",736.3255
"p2","p14","AC","2028",736.3255
"p2","p14","AC","2030",764.867000272571
"p2","p14","AC","2032",764.867000272571
"p2","p14","AC","2034",764.867000272571
"p2","p14","AC","2036",764.981283105271
"p2","p14","AC","2038",764.981283105271
"p2","p14","AC","2040",764.981283105271
"p2","p14","AC","2042",764.981283105271
"p2","p14","AC","2044",764.981283105271
"p2","p14","AC","2046",764.981283105271
"p2","p14","AC","2048",764.981283105271
"p2","p14","AC","2050",765.013955700494
"p3","p4","AC","2010",1539.9455
"p3","p4","AC","2012",1539.9455
"p3","p4","AC","2014",1539.9455
"p3","p4","AC","2016",1539.9455
"p3","p4","AC","2018",1539.9455
"p3","p4","AC","2020",1539.9455
"p3","p4","AC","2022",1539.9455
"p3","p4","AC","2024",1539.9455
"p3","p4","AC","2026",1573.77660677802
"p3","p4","AC","2028",1574.98862848719
"p3","p4","AC","2030",1599.61262411852
"p3","p4","AC","2032",1623.96544096432
"p3","p4","AC","2034",1677.26477350642
"p3","p4","AC","2036",1677.26477350642
"p3","p4","AC","2038",1710.39334513354
"p3","p4","AC","2040",1724.04531712926
"p3","p4","AC","2042",1735.91578901395
"p3","p4","AC","2044",1735.91578901395
"p3","p4","AC","2046",1739.77210304237
"p3","p4","AC","2048",1781.67516652657
"p3","p4","AC","2050",1853.8249749766
"p3","p14","AC","2010",1401.8265
"p3","p14","AC","2012",1401.8265
"p3","p14","AC","2014",1401.8265
"p3","p14","AC","2016",1401.8265
"p3","p14","AC","2018",1401.8265
"p3","p14","AC","2020",1401.8265
"p3","p14","AC","2022",1401.8265
"p3","p14","AC","2024",1401.8265
"p3","p14","AC","2026",1401.8265
"p3","p14","AC","2028",1401.8265
"p3","p14","AC","2030",1401.8265
"p3","p14","AC","2032",1401.8265
"p3","p14","AC","2034",1401.8265
"p3","p14","AC","2036",1401.8265
