"Dim1","Dim2","Val"
"2010","AC",0.191532167119205
"2010","LCC",0.38305872849079
"2012","AC",0.158470708260773
"2012","LCC",0.517701415508923
"2014","AC",0.218283196990013
"2014","LCC",0.654072856272964
"2016","AC",0.153126282588206
"2016","LCC",0.273096768703632
"2018","AC",0.144945058592203
"2018","LCC",0.578229321045863
"2020","AC",0.16287473330988
"2020","LCC",0.229613905867905
"2022","AC",0.247073791315806
"2022","LCC",0.637799558616431
"2024","AC",0.279185459381442
"2024","LCC",0.520075271904837
"2026","AC",0.326256445565574
"2026","LCC",0.561589424367319
"2028","AC",0.352475180092483
"2028","LCC",0.557628601247115
"2030","AC",0.375765268755352
"2030","LCC",0.605715440112325
"2032","AC",0.374209696422478
"2032","LCC",0.689210038981319
"2034","AC",0.356712980394803
"2034","LCC",0.614071641131483
"2036","AC",0.389966026990308
"2036","LCC",0.484570895423917
"2038","AC",0.365440947564676
"2038","LCC",0.54909296101988
"2040","AC",0.342294772813953
"2040","LCC",0.46995138712454
"2042","AC",0.342559674909655
"2042","LCC",0.458215397616729
"2044","AC",0.32924858281752
"2044","LCC",0.309959391386258
"2046","AC",0.304519982978232
"2046","LCC",0.269084448037753
"2048","AC",0.326906252310115
"2048","LCC",0.295113424837842
"2050","AC",0.314453216861078
"2050","LCC",0.277068830091958
