"Dim1","Dim2","Dim3","Dim4","Val"
"p1","p2","AC","2010",0.112511592880938
"p1","p2","AC","2012",0.0652665764851157
"p1","p2","AC","2014",0.0596993612942796
"p1","p2","AC","2016",0.128317985212036
"p1","p2","AC","2018",0.0364224409187551
"p1","p2","AC","2020",0.0805445088125223
"p1","p2","AC","2022",0.0175228001641744
"p1","p2","AC","2024",0.0702402317365164
"p1","p2","AC","2026",0.0964091824743876
"p1","p2","AC","2028",0.101643473210268
"p1","p2","AC","2030",0.106364751386853
"p1","p2","AC","2032",0.15477784519093
"p1","p2","AC","2034",0.133362080686638
"p1","p2","AC","2036",0.135817189744691
"p1","p2","AC","2038",0.156328949429323
"p1","p2","AC","2040",0.184918593887655
"p1","p2","AC","2042",0.158400272318638
"p1","p2","AC","2044",0.176292587660295
"p1","p2","AC","2046",0.294159280820843
"p1","p2","AC","2048",0.28585178156967
"p1","p2","AC","2050",0.275867472900738
"p1","p4","AC","2010",0.463230276027101
"p1","p4","AC","2012",0.421747905963419
"p1","p4","AC","2014",0.49895451984098
"p1","p4","AC","2016",0.338796692454494
"p1","p4","AC","2018",0.475851683439392
"p1","p4","AC","2020",0.442692585364236
"p1","p4","AC","2022",0.578136198686683
"p1","p4","AC","2024",0.541142189333549
"p1","p4","AC","2026",0.546431441505953
"p1","p4","AC","2028",0.563503621717842
"p1","p4","AC","2030",0.533175446883346
"p1","p4","AC","2032",0.519967196155826
"p1","p4","AC","2034",0.569489521495707
"p1","p4","AC","2036",0.591590055149515
"p1","p4","AC","2038",0.619974243870844
"p1","p4","AC","2040",0.640391683184752
"p1","p4","AC","2042",0.690660368182307
"p1","p4","AC","2044",0.783039195848643
"p1","p4","AC","2046",0.67762619895828
"p1","p4","AC","2048",0.690036656934608
"p1","p4","AC","2050",0.735421064914764
"p2","p3","AC","2010",0.000782371552083168
"p2","p3","AC","2012",0.000305821368659294
"p2","p3","AC","2014",0.00279905284802797
"p2","p3","AC","2022",0.101324879793485
"p2","p3","AC","2024",0.19035411965192
"p2","p3","AC","2026",0.183865603369058
"p2","p3","AC","2028",0.196988081299838
"p2","p3","AC","2030",0.240130576088449
"p2","p3","AC","2032",0.227638363031439
"p2","p3","AC","2034",0.0478980997715332
"p2","p3","AC","2036",0.000498201335633555
"p2","p3","AC","2042",0.00440193315830188
"p2","p3","AC","2048",0.0575209188905892
"p2","p4","AC","2010",0.0938456212766991
"p2","p4","AC","2012",0.194144351842845
"p2","p4","AC","2014",0.196844809053452
"p2","p4","AC","2016",0.0496513476222135
"p2","p4","AC","2018",0.11938237236107
"p2","p4","AC","2020",0.0808714679927381
"p2","p4","AC","2022",0.227638722945758
"p2","p4","AC","2024",0.268788162794868
"p2","p4","AC","2026",0.291649950735059
"p2","p4","AC","2028",0.280499777473525
"p2","p4","AC","2030",0.359183934308397
"p2","p4","AC","2032",0.350158909249463
"p2","p4","AC","2034",0.320480511664931
"p2","p4","AC","2036",0.267979894095846
"p2","p4","AC","2038",0.230450451974524
"p2","p4","AC","2040",0.178526317132056
"p2","p4","AC","2042",0.160350679857283
"p2","p4","AC","2044",0.104536118221957
"p2","p4","AC","2046",0.118904571915264
"p2","p4","AC","2048",0.1077250685485
"p2","p4","AC","2050",0.107259354720706
"p2","p5","AC","2010",0.0690529611120764
"p2","p5","AC","2012",0.0994586715999545
"p2","p5","AC","2014",0.0978091530063964
"p2","p5","AC","2016",0.0305793319873235
"p2","p5","AC","2018",0.0541753553067067
"p2","p5","AC","2020",0.0415655290782897
"p2","p5","AC","2022",0.0779843171680186
"p2","p5","AC","2024",0.0963573560480324
"p2","p5","AC","2026",0.111529002610045
