"Dim1","Dim2","Dim3","Dim4","Val"
"Gas-CT","new1","p8","2010",0.0438
"Gas-CT","new1","p9","2010",1.288596
"Gas-CT","new1","p9","2012",3.636276
"Gas-CT","new1","p10","2012",3.073884
"Gas-CT","new1","p11","2010",1.390212
"Gas-CT","new1","p17","2012",1.158948
"Gas-CT","new1","p18","2012",0.35478
"Gas-CT","new1","p25","2010",0.322368
"Gas-CT","new1","p25","2012",0.20148
"Gas-CT","new1","p28","2012",4.562208
"Gas-CT","new1","p30","2010",0.572398945067155
"Gas-CT","new1","p34","2012",1.5768
"Gas-CT","new2","p5","2014",1.801932
"Gas-CT","new2","p5","2016",0.163812
"Gas-CT","new2","p9","2014",6.703152
"Gas-CT","new2","p10","2014",17.13018
"Gas-CT","new2","p10","2016",1.78704
"Gas-CT","new2","p11","2014",0.47304
"Gas-CT","new2","p11","2016",2.78568
"Gas-CT","new2","p24","2014",0.32412
"Gas-CT","new2","p25","2016",0.0438
"Gas-CT","new2","p26","2016",0.036792
"Gas-CT","new2","p31","2014",0.77088
"Gas-CT","new2","p31","2016",0.3504
"Gas-CT","new2","p34","2016",0.3504
"Gas-CT","new2","p59","2016",3.08352
"Gas-CT","new3","p10","2020",1.23516
"Gas-CT","new3","p11","2018",4.6209
"Gas-CT","new3","p25","2018",0.10512
"Gas-CT","new3","p25","2020",0.12264
"Gas-CT","new3","p28","2020",4.58586
"Gas-CT","new3","p30","2020",1.62573863809783
"Gas-CT","new4","p5","2022",3.458448
"Gas-CT","new4","p34","2022",1.434888
"Gas-CT","new4","p59","2024",1.995528
"Gas-CT","new7","p15","2034",5.50280589261255
"Gas-CT","new7","p22","2034",0.168781794255875
"Gas-CT","new7","p26","2034",4.01758305739344
"Gas-CT","new7","p32","2034",0.235094764668511
"Gas-CT","new8","p1","2040",8.55682547626054
"Gas-CT","new8","p3","2038",0.297500287199996
"Gas-CT","new8","p3","2040",1.94542936139478
"Gas-CT","new8","p8","2040",1.47069346716703
"Gas-CT","new8","p14","2040",6.06350120553101
"Gas-CT","new8","p15","2040",1.26105943374545
"Gas-CT","new8","p16","2040",1.26397523782467
"Gas-CT","new8","p22","2040",0.123015163544125
"Gas-CT","new9","p1","2042",16.0956354295166
"Gas-CT","new9","p1","2044",16.5627833974302
"Gas-CT","new9","p2","2042",1.49820959191101
"Gas-CT","new9","p3","2042",1.55112360948558
"Gas-CT","new9","p12","2044",5.5280631741353
"Gas-CT","new9","p13","2042",1.5902624675757
"Gas-CT","new9","p13","2044",7.02532332976592
"Gas-CT","new9","p14","2042",3.23833962348
"Gas-CT","new9","p15","2042",1.91941079116364
"Gas-CT","new9","p15","2044",1.48684845241093
"Gas-CT","new9","p16","2042",4.55017461962337
"Gas-CT","new9","p22","2042",0.1956337512
"Gas-CT","new9","p23","2044",0.103418630420508
"Gas-CT","new9","p25","2042",0.22570977437865
"Gas-CT","new9","p25","2044",5.14194137184144
"Gas-CT","new9","p26","2042",0.0377157375585087
"Gas-CT","new9","p26","2044",0.0139084975859485
"Gas-CT","new9","p28","2042",1.37998096195001
"Gas-CT","new9","p28","2044",7.57456651322441
"Gas-CT","new9","p32","2042",0.00900372300811591
"Gas-CT","new9","p32","2044",1.47271120693147
"Gas-CT","new10","p1","2046",16.9279891494102
