"Dim1","Dim2","Dim3","Val"
"Gas-CT","p1","2040",8.55682547626054
"Gas-CT","p1","2042",16.0956354295166
"Gas-CT","p1","2044",16.5627833974302
"Gas-CT","p1","2046",16.9279891494102
"Gas-CT","p1","2048",17.2807018636265
"Gas-CT","p1","2050",10.8769978627485
"Gas-CT","p2","2042",1.49820959191101
"Gas-CT","p2","2046",4.60220065280383
"Gas-CT","p2","2048",20.5597302822549
"Gas-CT","p2","2050",19.704066925478
"Gas-CT","p3","2038",0.297500287199996
"Gas-CT","p3","2040",1.94542936139478
"Gas-CT","p3","2042",1.55112360948558
"Gas-CT","p3","2046",3.1934515344112
"Gas-CT","p3","2050",1.13623668065454
"Gas-CT","p5","2014",1.801932
"Gas-CT","p5","2016",0.163812
"Gas-CT","p5","2022",3.458448
"Gas-CT","p8","2040",1.47069346716703
"Gas-CT","p9","2012",3.636276
"Gas-CT","p9","2014",6.703152
"Gas-CT","p10","2012",3.073884
"Gas-CT","p10","2014",17.13018
"Gas-CT","p10","2016",1.78704
"Gas-CT","p10","2020",1.23516
"Gas-CT","p11","2014",0.47304
"Gas-CT","p11","2016",2.78568
"Gas-CT","p11","2018",4.6209
"Gas-CT","p12","2044",5.5280631741353
"Gas-CT","p13","2042",1.5902624675757
"Gas-CT","p13","2044",7.02532332976592
"Gas-CT","p13","2046",7.36604244621697
"Gas-CT","p13","2048",6.5827905203007
"Gas-CT","p13","2050",9.17438849648999
"Gas-CT","p14","2040",6.06350120553101
"Gas-CT","p14","2042",3.23833962348
"Gas-CT","p14","2046",0.828256473902746
"Gas-CT","p14","2050",3.0418392067532
"Gas-CT","p15","2034",5.50280589261255
"Gas-CT","p15","2040",1.26105943374545
"Gas-CT","p15","2042",1.91941079116364
"Gas-CT","p15","2044",1.48684845241093
"Gas-CT","p15","2046",9.056713580014
"Gas-CT","p16","2040",1.26397523782467
"Gas-CT","p16","2042",4.55017461962337
"Gas-CT","p16","2046",4.98286324298397
"Gas-CT","p16","2048",0.247204014545454
"Gas-CT","p17","2012",1.158948
"Gas-CT","p18","2012",0.35478
"Gas-CT","p22","2034",0.168781794255875
"Gas-CT","p22","2040",0.123015163544125
"Gas-CT","p22","2042",0.1956337512
"Gas-CT","p22","2046",0.306473601163636
"Gas-CT","p22","2048",0.226830167780481
"Gas-CT","p22","2050",0.180307079999999
"Gas-CT","p23","2044",0.103418630420508
"Gas-CT","p23","2046",0.22109993791997
"Gas-CT","p24","2014",0.32412
"Gas-CT","p25","2012",0.20148
"Gas-CT","p25","2016",0.0438
"Gas-CT","p25","2018",0.10512
"Gas-CT","p25","2020",0.12264
"Gas-CT","p25","2042",0.22570977437865
"Gas-CT","p25","2044",5.14194137184144
"Gas-CT","p25","2046",13.1731640296073
"Gas-CT","p25","2050",7.33461098993856
"Gas-CT","p26","2016",0.036792
"Gas-CT","p26","2034",4.01758305739344
"Gas-CT","p26","2042",0.0377157375585087
"Gas-CT","p26","2044",0.0139084975859485
"Gas-CT","p26","2048",0.0131384006904907
"Gas-CT","p26","2050",0.417890221183024
"Gas-CT","p28","2012",4.562208
"Gas-CT","p28","2020",4.58586
"Gas-CT","p28","2042",1.37998096195001
"Gas-CT","p28","2044",7.57456651322441
"Gas-CT","p28","2048",5.41684796015037
"Gas-CT","p30","2020",1.62573863809783
"Gas-CT","p30","2046",1.17663304447857
"Gas-CT","p31","2014",0.77088
"Gas-CT","p31","2016",0.3504
"Gas-CT","p32","2034",0.235094764668511
"Gas-CT","p32","2042",0.00900372300811591
"Gas-CT","p32","2044",1.47271120693147
"Gas-CT","p33","2046",2.12103059263405
"Gas-CT","p33","2050",2.2921406357207
"Gas-CT","p34","2012",1.5768
"Gas-CT","p34","2016",0.3504
"Gas-CT","p34","2022",1.434888
"Gas-CT","p34","2046",8.13423114623516
"Gas-CT","p34","2048",0.447529440558075
"Gas-CT","p34","2050",2.04619631722973
"Gas-CT","p59","2016",3.08352
"Gas-CT","p59","2024",1.995528
"geohydro_pbinary_1","p7","2012",6.20208
"geohydro_pbinary_1","p7","2016",0.63072
"geohydro_pbinary_1","p31","2014",0.56064
"geohydro_pbinary_1","p31","2018",2.4528
"geohydro_pflash_1","p9","2028",10.23168
"geohydro_pflash_1","p10","2020",25.94712
"geohydro_pflash_1","p25","2014",13.6656
"geohydro_pflash_2","p10","2012",17.48496
"geohydro_pflash_2","p10","2018",4.38
"geohydro_pflash_2","p10","2020",79.481232
"geohydro_pflash_2","p12","2014",8.721456
"geohydro_pflash_2","p12","2016",16.88928
"geohydro_pflash_2","p12","2018",7.081584
"geohydro_pflash_3","p10","2020",125.625408
"geohydro_pflash_3","p12","2018",7.21473600000001
"geohydro_pflash_3","p12","2020",12.803616
"geohydro_pflash_4","p10","2020",14.82192
"geohydro_pflash_4","p12","2020",1.59782400000001
"geohydro_pflash_4","p12","2022",8.76
"geohydro_pflash_6","p10","2020",105.918087506413
"undisc_pflash_1","p8","2028",6.0944157456
"undisc_pflash_1","p8","2030",1.7412616416
"undisc_pflash_1","p9","2028",48.2339220048
"undisc_pflash_1","p9","2030",13.7811205728
