"Dim1","Val"
"2010",328700275047.981
"2012",293779195413.821
"2014",344087365532.948
"2016",216870067748.224
"2018",238593062800.099
"2020",192050295749.846
"2022",254433811127.392
"2024",183715420830.938
"2026",147430982040.407
"2028",149469387275.153
"2030",149965298844.956
"2032",132855595119.755
"2034",149183194661.425
"2036",158140451664.457
"2038",165380530079.012
"2040",178605174196.854
"2042",182341888542.333
"2044",185331927116.118
"2046",190728128935.867
"2048",192217796871.079
"2050",196440930076.018
