"Dim1","Val"
"2010",8362495617.54972
"2012",23510397605.1533
"2014",55500769215.2668
"2016",15339763633.064
"2018",6672502769.71991
"2020",16427410818.3768
"2022",32257472462.5593
"2024",43773621068.4262
"2026",14878639674.174
"2028",20511509901.5678
"2030",36378035152.2534
"2032",15487311379.1321
"2034",16835535639.1623
"2036",23452648557.7048
"2038",27676622262.7526
"2040",26371889936.8041
"2042",27854429433.7979
"2044",26809000505.8031
"2046",28175665039.948
"2048",25304293286.8686
"2050",31289275570.135
