"Dim1","Val"
"2010",320337779430.432
"2012",270268797808.668
"2014",288586596317.681
"2016",201530304115.161
"2018",231920560030.379
"2020",175622884931.469
"2022",222176338664.833
"2024",139941799762.512
"2026",132552342366.233
"2028",128957877373.586
"2030",113587263692.702
"2032",117368283740.622
"2034",132347659022.263
"2036",134687803106.752
"2038",137703907816.259
"2040",152233284260.05
"2042",154487459108.535
"2044",158522926610.315
"2046",162552463895.919
"2048",166913503584.21
"2050",165151654505.883
