Dim1,year,month,day,hour,Generation (GWh)
Generator,2023,12,31,12,57.25467500001
Generator,2024,12,31,12,54.54885000008
Generator,2025,12,31,12,54.661339302
Generator,2026,12,31,12,54.00110000003
Generator,2027,12,31,12,51.81919900188
Generator,2028,12,31,12,52.40262499998
Generator,2029,12,31,12,54.07575000002
Generator,2030,12,31,12,53.80275000001
Generator,2031,12,31,12,57.66712500007
Generator,2032,12,31,12,54.03580000007
Generator,2033,12,31,12,57.25642499998
Generator,2034,12,31,12,57.03607499998
Generator,2035,12,31,12,57.10347499997
Generator,2036,12,31,12,57.41705631031
Generator,2037,12,31,12,56.72142500003
Generator,2038,12,31,12,57.37164999998
Generator,2039,12,31,12,57.23702499985
Generator,2040,12,31,12,57.23899999997
Generator,2041,12,31,12,57.66085000011
Generator,2042,12,31,12,57.54865000007
Generator,2043,12,31,12,57.47269999998
Generator,2044,12,31,12,57.27142500005
Generator,2045,12,31,12,57.25467500002
Generator,2046,12,31,12,57.41275000007
Generator,2047,12,31,12,57.72087500008
Generator,2048,12,31,12,55.45417499996
Generator,2049,12,31,12,55.41272500001
Generator,2050,12,31,12,55.29049999978
Generator,2051,12,31,12,57.25467499985
Generator,2052,12,31,12,57.848175
Generator,2023,12,31,12,54.96448799995
Generator,2024,12,31,12,52.366896
Generator,2025,12,31,12,52.38021600007
Generator,2026,12,31,12,52.48343999998
Generator,2027,12,31,12,49.27068000003
Generator,2028,12,31,12,50.42611199998
Generator,2029,12,31,12,51.82972800006
Generator,2030,12,31,12,52.07140799999
Generator,2031,12,31,12,55.36043999996
Generator,2032,12,31,12,53.4993447663
Generator,2033,12,31,12,54.96616799987
Generator,2034,12,31,12,54.8376240001
Generator,2035,12,31,12,54.62102399999
Generator,2036,12,31,12,55.01659199998
Generator,2037,12,31,12,55.17823199997
Generator,2038,12,31,12,55.07678400005
Generator,2039,12,31,12,54.8406959999
Generator,2040,12,31,12,54.84974399999
Generator,2041,12,31,12,55.35441599994
Generator,2042,12,31,12,55.24670400001
Generator,2043,12,31,12,55.17379199998
Generator,2044,12,31,12,54.9619440000301
Generator,2045,12,31,12,54.96448799997
Generator,2046,12,31,12,54.9953519999699
Generator,2047,12,31,12,55.43090399997
Generator,2048,12,31,12,53.47792800002
Generator,2049,12,31,12,52.39295999992
Generator,2050,12,31,12,53.07888000006
Generator,2051,12,31,12,54.96448800004
Generator,2052,12,31,12,55.53424800006
Generator,2023,12,31,12,50.38411399999
Generator,2024,12,31,12,48.19667023689
Generator,2025,12,31,12,48.10238400001
Generator,2026,12,31,12,47.95177200006
Generator,2027,12,31,12,46.92043400001
Generator,2028,12,31,12,45.99801799999
Generator,2029,12,31,12,47.58665999995
Generator,2030,12,31,12,47.27034400006
Generator,2031,12,31,12,50.7442122216
Generator,2032,12,31,12,49.5755699999601
Generator,2033,12,31,12,50.38565400001
Generator,2034,12,31,12,50.26782199994
Generator,2035,12,31,12,50.37260800003
Generator,2036,12,31,12,50.59229726253
Generator,2037,12,31,12,50.16340999988
Generator,2038,12,31,12,50.36125600002
Generator,2039,12,31,12,50.27063800005
Generator,2040,12,31,12,50.26436799997
Generator,2041,12,31,12,50.72447600002
Generator,2042,12,31,12,50.64281199999
Generator,2043,12,31,12,50.03193800009
Generator,2044,12,31,12,50.4165640001
Generator,2045,12,31,12,50.34933199998
Generator,2046,12,31,12,50.36693200003
Generator,2047,12,31,12,50.8116620001
Generator,2048,12,31,12,49.02143400002
Generator,2049,12,31,12,49.79728576276
Generator,2050,12,31,12,48.6556400001501
Generator,2051,12,31,12,50.3841140000099
Generator,2052,12,31,12,50.90639400005
Generator,2023,12,31,12,22.90186999996
Generator,2024,12,31,12,21.81953999993
Generator,2025,12,31,12,21.73587000004
Generator,2026,12,31,12,21.83929999996
Generator,2027,12,31,12,21.0534611956
Generator,2028,12,31,12,21.39545999992
Generator,2029,12,31,12,21.50676000004
Generator,2030,12,31,12,21.48651999994
Generator,2031,12,31,12,23.06685000001
Generator,2032,12,31,12,22.53435000005
Generator,2033,12,31,12,22.90256999999
Generator,2034,12,31,12,22.74595999996
Generator,2035,12,31,12,22.87596999994
Generator,2036,12,31,12,22.8193
Generator,2037,12,31,12,22.92098999996
