Dim1,Year,Month,Day,Hour,Production (ton)
Emission,2023,12,31,12,58652982.9081212
Emission,2024,12,31,12,30522024.2658181
Emission,2025,12,31,12,18905957.4061822
Emission,2026,12,31,12,19172101.3572183
Emission,2027,12,31,12,18629370.4251295
Emission,2028,12,31,12,18902551.3873372
Emission,2029,12,31,12,19389182.5717232
Emission,2030,12,31,12,19050921.2725857
Emission,2031,12,31,12,19388540.5703005
Emission,2032,12,31,12,19532148.511391
Emission,2033,12,31,12,19779316.2509862
Emission,2034,12,31,12,20109070.7156198
Emission,2035,12,31,12,20342830.0020421
Emission,2036,12,31,12,20690790.5345074
Emission,2037,12,31,12,20987195.9099093
Emission,2038,12,31,12,21289768.7901229
Emission,2039,12,31,12,21673024.0159044
Emission,2040,12,31,12,22025241.5115267
Emission,2041,12,31,12,22223844.7930033
Emission,2042,12,31,12,22674913.6747602
Emission,2043,12,31,12,23071136.4383206
Emission,2044,12,31,12,23547497.6255154
Emission,2045,12,31,12,23845484.1463112
Emission,2046,12,31,12,24132720.5481891
Emission,2047,12,31,12,24463468.9103188
Emission,2048,12,31,12,24961457.0268802
Emission,2049,12,31,12,25266485.14137
Emission,2050,12,31,12,315173.880940557
Emission,2051,12,31,12,390654.631656706
Emission,2052,12,31,12,450693.157988887
Emission,2023,12,31,12,0.0
Emission,2024,12,31,12,0.0
Emission,2025,12,31,12,0.0
Emission,2026,12,31,12,0.0
Emission,2027,12,31,12,0.0
Emission,2028,12,31,12,0.0
Emission,2029,12,31,12,0.0
Emission,2030,12,31,12,0.0
Emission,2031,12,31,12,0.0
Emission,2032,12,31,12,0.0
Emission,2033,12,31,12,0.0
Emission,2034,12,31,12,0.0
Emission,2035,12,31,12,0.0
Emission,2036,12,31,12,0.0
Emission,2037,12,31,12,0.0
Emission,2038,12,31,12,0.0
Emission,2039,12,31,12,0.0
Emission,2040,12,31,12,0.0
Emission,2041,12,31,12,0.0
Emission,2042,12,31,12,0.0
Emission,2043,12,31,12,0.0
Emission,2044,12,31,12,0.0
Emission,2045,12,31,12,0.0
Emission,2046,12,31,12,0.0
Emission,2047,12,31,12,0.0
Emission,2048,12,31,12,0.0
Emission,2049,12,31,12,0.0
Emission,2050,12,31,12,0.0
Emission,2051,12,31,12,0.0
Emission,2052,12,31,12,0.0
Emission,2023,12,31,12,0.0
Emission,2024,12,31,12,0.0
Emission,2025,12,31,12,0.0
Emission,2026,12,31,12,0.0
Emission,2027,12,31,12,0.0
Emission,2028,12,31,12,0.0
Emission,2029,12,31,12,0.0
Emission,2030,12,31,12,0.0
Emission,2031,12,31,12,0.0
Emission,2032,12,31,12,0.0
Emission,2033,12,31,12,0.0
Emission,2034,12,31,12,0.0
Emission,2035,12,31,12,0.0
Emission,2036,12,31,12,0.0
Emission,2037,12,31,12,0.0
Emission,2038,12,31,12,0.0
Emission,2039,12,31,12,0.0
Emission,2040,12,31,12,0.0
Emission,2041,12,31,12,0.0
Emission,2042,12,31,12,0.0
Emission,2043,12,31,12,0.0
Emission,2044,12,31,12,0.0
Emission,2045,12,31,12,0.0
Emission,2046,12,31,12,0.0
Emission,2047,12,31,12,0.0
Emission,2048,12,31,12,0.0
Emission,2049,12,31,12,0.0
Emission,2050,12,31,12,0.0
Emission,2051,12,31,12,0.0
Emission,2052,12,31,12,0.0
Emission,2023,12,31,12,0.0
Emission,2024,12,31,12,0.0
Emission,2025,12,31,12,0.0
Emission,2026,12,31,12,0.0
Emission,2027,12,31,12,0.0
Emission,2028,12,31,12,0.0
Emission,2029,12,31,12,0.0
Emission,2030,12,31,12,0.0
Emission,2031,12,31,12,0.0
Emission,2032,12,31,12,0.0
Emission,2033,12,31,12,0.0
Emission,2034,12,31,12,0.0
